tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_modelo_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio,fecha_recup,dias
DENUNCIA DE ROBO O HURTO,2018-01-11,1988-09-06,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Nacional,1988.0,FURGON,FORD,F-100,Privado,Física,LUIS GUILLON,BUENOS AIRES,Masculino,1988.0,ARGENTINA,1.0,2019-01-29,383 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-31,2017-03-31,LANUS Nº 1,Buenos Aires,Nacional,2017.0,SEDAN 4 P,FIAT,PALIO,Privado,Física,LANUS,BUENOS AIRES,Masculino,1986.0,ARGENTINA,1.0,2018-09-25,237 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-11,1999-07-29,QUILMES Nº 1,Buenos Aires,Nacional,1999.0,SEDAN 3 P,FIAT,PALIO,Privado,Física,BERNAL,BUENOS AIRES,Masculino,1996.0,ARGENTINA,1.0,2018-04-03,82 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-30,2017-12-07,BERAZATEGUI Nº 1,Buenos Aires,Nacional,2017.0,SEDAN 4 P,PEUGEOT,308,Privado,Física,BERAZATEGUI,BUENOS AIRES,Femenino,1968.0,ARGENTINA,1.0,2018-06-25,146 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-02,2012-05-03,SAN ISIDRO Nº 02,Buenos Aires,Importado,2012.0,SEDAN 4 P,AUDI,A3,Privado,Física,BECCAR,BUENOS AIRES,Femenino,1967.0,ARGENTINA,1.0,2018-02-08,37 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-09,2017-08-02,SAN VICENTE,Buenos Aires,Importado,2017.0,SEDAN 4 P,VOLKSWAGEN,GOLF,Privado,Física,GUERNICA,BUENOS AIRES,Femenino,1962.0,ARGENTINA,1.0,2018-06-29,171 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-17,2011-03-28,SAN VICENTE,Buenos Aires,Nacional,2011.0,SEDAN 4 P,CHEVROLET,CLASSIC,Privado,Física,DOMSELAAR,BUENOS AIRES,Masculino,1949.0,ARGENTINA,1.0,2018-05-18,121 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-08,2014-08-14,MAR DEL PLATA Nº 03,Buenos Aires,Protocolo 21,2014.0,PICK UP,FIAT,STRADA,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1959.0,ARGENTINA,1.0,2018-02-26,49 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-09,2016-08-29,SAN ISIDRO Nº 03,Buenos Aires,Protocolo 21,2016.0,SEDAN 4 P,CITROEN,C3,Privado,Física,MARTINEZ,BUENOS AIRES,Masculino,1955.0,ARGENTINA,1.0,2018-06-18,160 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-22,2011-05-12,QUILMES Nº 4,Buenos Aires,Nacional,2011.0,SEDAN 4 P,PEUGEOT,207,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1973.0,ARGENTINA,1.0,2018-11-01,283 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-18,1996-03-14,MERLO Nº 2,Buenos Aires,Protocolo 21,1996.0,SEDAN 3 P,VOLKSWAGEN,GOL,Privado,Física,PQUE SAN MARTIN,BUENOS AIRES,Masculino,1953.0,ARGENTINA,1.0,2018-08-03,197 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-02,2010-10-08,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2010.0,SEDAN 4 P,HONDA,CITY,Privado,Física,AVELLANEDA,BUENOS AIRES,Masculino,1935.0,ARGENTINA,1.0,2018-10-25,296 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-09,2011-06-23,TRES DE FEBRERO Nº 3,Buenos Aires,Nacional,2011.0,SEDAN 4 P,FORD,FOCUS,Privado,Física,CIUDADELA,BUENOS AIRES,Masculino,1988.0,ARGENTINA,1.0,2018-03-01,51 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-31,2014-02-28,LOMAS DE ZAMORA Nº 5,Buenos Aires,Protocolo 21,2014.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,LLAVALLOL,BUENOS AIRES,Masculino,1969.0,ARGENTINA,1.0,2018-09-13,225 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-03,2017-10-11,OLIVOS Nº 05,Buenos Aires,Nacional,2017.0,SEDAN 4 P,CITROEN,BERLINGO,Privado,Física,CARAPACHAY,BUENOS AIRES,Femenino,1973.0,ARGENTINA,0.0,2018-05-02,119 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-03,2012-03-28,LOMAS DE ZAMORA Nº 6,Buenos Aires,Nacional,2012.0,SEDAN 4 P,CHEVROLET,AGILE,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Femenino,1964.0,ARGENTINA,1.0,2018-04-19,106 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-15,2017-07-21,LOMAS DE ZAMORA Nº 6,Buenos Aires,Importado,2017.0,SEDAN 4 P,VOLKSWAGEN,GOLF,Privado,Física,LLAVALLOL,BUENOS AIRES,Masculino,1973.0,ARGENTINA,1.0,2018-08-09,206 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-25,2014-07-16,ADROGUE Nº 3,Buenos Aires,Nacional,2014.0,FURGON,PEUGEOT,PARTNER,Privado,Física,MALVINAS ARGENTINAS,BUENOS AIRES,Masculino,1986.0,ARGENTINA,1.0,2018-11-30,309 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-27,2003-07-21,FLORENCIO VARELA Nº 2,Buenos Aires,Importado,2003.0,SEDAN 4 P,VOLKSWAGEN,BORA,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Femenino,1979.0,ARGENTINA,1.0,2018-08-07,192 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-05,2011-03-11,LUJAN Nº 2,Buenos Aires,Protocolo 21,2011.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,LUJAN,BUENOS AIRES,Masculino,1988.0,ARGENTINA,1.0,2018-11-12,311 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-24,2011-03-01,MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5),Buenos Aires,Protocolo 21,2011.0,SEDAN 4 P,CHEVROLET,CLASSIC,Privado,Física,VILLA DE MAYO,BUENOS AIRES,Masculino,1994.0,ARGENTINA,1.0,2018-02-19,26 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-25,2014-06-16,SAN ISIDRO Nº 08,Buenos Aires,Protocolo 21,2014.0,SEDAN 3 P,VOLKSWAGEN,GOL,Privado,Física,VILLA ADELINA,BUENOS AIRES,Masculino,1992.0,ARGENTINA,1.0,2018-08-29,216 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-10,1999-09-27,MORON Nº 04 (EX. MORON Nº 9),Buenos Aires,Nacional,1999.0,SEDAN 3 P,FIAT,PALIO,Privado,Física,MORON,BUENOS AIRES,Masculino,1992.0,ARGENTINA,1.0,2018-05-09,119 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-05,2011-02-16,LA MATANZA Nº 09,Buenos Aires,Nacional,2011.0,SEDAN 4 P,PEUGEOT,207,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,Masculino,1965.0,ARGENTINA,1.0,2018-12-14,343 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-08,2013-01-16,LOMAS DE ZAMORA Nº 7,Buenos Aires,Protocolo 21,2013.0,SEDAN 4 P,RENAULT,LOGAN,Privado,Física,VILLA FIORITO,BUENOS AIRES,Masculino,1992.0,ARGENTINA,1.0,2018-05-04,116 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-30,2013-07-17,BERAZATEGUI Nº 4,Buenos Aires,Protocolo 21,2013.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1985.0,ARGENTINA,1.0,2018-03-27,56 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-24,2012-01-24,LA MATANZA Nº 12,Buenos Aires,Importado,2012.0,SEDAN 4 P,FORD,FIESTA,Privado,Física,ALDO BONZI,BUENOS AIRES,Femenino,1985.0,ARGENTINA,1.0,2018-04-13,79 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-26,1997-04-30,LA MATANZA Nº 12,Buenos Aires,Nacional,1997.0,SEDAN 4 P,FORD,ESCORT,Privado,Física,ALDO BONZI-LA MATANZA,BUENOS AIRES,Femenino,1988.0,ARGENTINA,1.0,2018-01-26,0 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-24,2006-03-23,LA MATANZA Nº 12,Buenos Aires,Protocolo 21,2006.0,SEDAN 3 P,FORD,KA,Privado,Física,VILLA EDUARDO MADERO,BUENOS AIRES,Femenino,1988.0,ARGENTINA,1.0,2019-01-29,370 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-24,2012-05-14,JOSE C. PAZ Nº 2,Buenos Aires,Nacional,2012.0,SEDAN 4 P,CHEVROLET,AGILE,Privado,Física,JOSE C.PAZ,BUENOS AIRES,No aplica,1949.0,ARGENTINA,0.0,2018-03-08,43 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-08,2010-04-21,JOSE C. PAZ Nº 2,Buenos Aires,Protocolo 21,2010.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,JOSE C. PAZ,BUENOS AIRES,No aplica,1986.0,ARGENTINA,1.0,2018-03-13,64 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-26,2011-09-20,ZARATE Nº 3,Buenos Aires,Protocolo 21,2011.0,SEDAN 4 P,CITROEN,C3,Privado,Física,ZARATE,BUENOS AIRES,Masculino,1977.0,ARGENTINA,1.0,2018-05-14,108 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-31,2011-10-27,LOMAS DE ZAMORA Nº 9,Buenos Aires,Nacional,2011.0,SEDAN 4 P,FORD,FOCUS,Privado,Física,TEMPERLEY,BUENOS AIRES,Masculino,1984.0,ARGENTINA,1.0,2018-02-01,1 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-03,2009-04-07,QUILMES Nº 9,Buenos Aires,Nacional,2009.0,SEDAN 4 P,CITROEN,C4,Privado,Física,EZPELETA,BUENOS AIRES,Masculino,1977.0,ARGENTINA,1.0,2019-04-11,463 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-16,2017-10-11,PILAR Nº 4,Buenos Aires,Protocolo 21,2017.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,DEL VISO,BUENOS AIRES,Femenino,1953.0,ARGENTINA,1.0,2018-03-01,44 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-05,1998-09-11,EZEIZA Nº 2,Buenos Aires,Protocolo 21,1998.0,FURGON,FIAT,FIORINO,Privado,Física,TRISTAN SUAREZ,BUENOS AIRES,No aplica,1966.0,ARGENTINA,1.0,2018-09-19,257 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-25,2006-07-10,CAPITAL FEDERAL Nº 004,Ciudad Autónoma de Bs.As.,Protocolo 21,2006.0,SEDAN 4 P,CHEVROLET,MERIVA,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1969.0,ARGENTINA,1.0,2018-12-19,328 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-23,2013-03-21,CAPITAL FEDERAL Nº 013,Ciudad Autónoma de Bs.As.,Nacional,2013.0,FURGON,RENAULT,KANGOO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1971.0,ARGENTINA,1.0,2018-04-19,86 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-22,2013-08-07,CAPITAL FEDERAL Nº 013,Ciudad Autónoma de Bs.As.,Nacional,2013.0,SEDAN 4 P,FORD,FOCUS,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1956.0,ARGENTINA,1.0,2018-02-01,10 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-17,2003-07-21,CAPITAL FEDERAL Nº 027,Ciudad Autónoma de Bs.As.,Nacional,2003.0,SEDAN 4 P,PEUGEOT,206,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1964.0,ARGENTINA,1.0,2018-11-06,293 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-25,2006-12-05,CAPITAL FEDERAL Nº 028,Ciudad Autónoma de Bs.As.,Nacional,2006.0,SEDAN 4 P,RENAULT,MEGANE,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1951.0,ARGENTINA,1.0,2019-02-01,372 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-26,1999-03-31,CAPITAL FEDERAL Nº 038,Ciudad Autónoma de Bs.As.,Protocolo 21,1999.0,SEDAN 4 P,CHEVROLET,VECTRA,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1980.0,URUGUAY,1.0,2018-06-19,144 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-31,2014-01-14,CAPITAL FEDERAL Nº 047,Ciudad Autónoma de Bs.As.,Nacional,2014.0,SEDAN 4 P,PEUGEOT,308,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1969.0,ARGENTINA,1.0,2018-03-23,51 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-05,2012-10-01,CAPITAL FEDERAL Nº 047,Ciudad Autónoma de Bs.As.,Nacional,2012.0,FURGON,CITROEN,BERLINGO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1986.0,ARGENTINA,1.0,2018-05-29,144 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-24,2011-11-09,CAPITAL FEDERAL Nº 061,Ciudad Autónoma de Bs.As.,Protocolo 21,2011.0,SEDAN 4 P,VOLKSWAGEN,GOL,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1959.0,ARGENTINA,0.0,2018-05-30,126 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-22,2014-10-24,CAPITAL FEDERAL Nº 069,Ciudad Autónoma de Bs.As.,Nacional,2014.0,FURGON,RENAULT,KANGOO,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1974.0,ARGENTINA,0.0,2018-03-15,52 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-19,2011-12-19,CORDOBA Nº 02,Córdoba,Protocolo 21,2011.0,SEDAN 4 P,PEUGEOT,207,Privado,Física,CORDOBA,CORDOBA,Masculino,1977.0,ARGENTINA,1.0,2018-04-06,77 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-19,2013-10-30,CORDOBA Nº 04,Córdoba,Protocolo 21,2013.0,SEDAN 4 P,FORD,ECOSPORT,Privado,Física,CÓRDOBA,CORDOBA,No aplica,1978.0,ARGENTINA,1.0,2018-03-08,48 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-09,2015-04-13,CORDOBA Nº 17,Córdoba,Importado,2014.0,SEDAN 3 P,AUDI,A3,Privado,Física,CORDOBA,CORDOBA,Femenino,1962.0,ARGENTINA,1.0,2018-12-11,336 days 00:00:00.000000000
DENUNCIA DE ROBO O HURTO,2018-01-12,2013-10-16,CORDOBA Nº 18,Córdoba,Nacional,2013.0,SEDAN 3 P,RENAULT,CLIO,Privado,Física,CORDOBA,CORDOBA,Masculino,1968.0,ARGENTINA,1.0,2018-02-19,38 days 00:00:00.000000000
