tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_indec_id,titular_pais_nacimiento_indec_id
COMUNICACIÓN DE RECUPERO,2018-01-17,2001-08-22,2073,CAPITAL FEDERAL Nº 073,Ciudad Autónoma de Bs.As.,Nacional,2001.0,,FURGON VIDRIADO,37,RENAULT,EM,KANGOO RL EXPRES,1.0,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,,No aplica,100,2,
COMUNICACIÓN DE RECUPERO,2018-01-16,2000-08-02,1023,CORONEL VIDAL,Buenos Aires,Nacional,2000.0,17.0,SEDAN 5 PTAS,19,FORD,JC,ESCORT LX 1.8 5P N,1.0,Privado,Física,SANTA CLARA DEL MAR,BUENOS AIRES,Femenino,1931.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-26,2010-06-11,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2010.0,22.0,SEDAN 3 PTAS,136,VOLKSWAGEN,348,FOX 1.6,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-29,2008-11-04,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2008.0,17.0,SEDAN 5 PTAS,34,PEUGEOT,JK,207 COMPACT XS 1.4 5P,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-29,2015-02-27,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2015.0,20.0,PICK-UP,53,VOLKSWAGEN,WP,AMAROK 2.0L TDI 180 CV 4X2 668,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-29,2010-09-27,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2010.0,20.0,PICK-UP,53,VOLKSWAGEN,MY,AMAROK 2.0L TDI 4X2 1H2,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-29,2001-09-28,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2001.0,4.0,RURAL 5 PTAS,044,FIAT,544,PALIO WEEKEND ELX TD,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-22,2007-07-06,1043,LA PLATA Nº 01,Buenos Aires,Importado,2007.0,12.0,FAMILIAR,092,MERCEDES BENZ,874,VIANO 2.2 CDI AMBIENTE,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-31,2009-01-07,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2009.0,20.0,PICK-UP,68,TOYOTA,22,HILUX 4X2 CABINA DOBLE DX 2.5 TD,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-22,2011-08-05,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2011.0,5.0,SEDAN 5 PTAS,044,FIAT,725,UNO 1.4 8V,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-26,2007-07-23,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2007.0,28.0,TRACTOR DE CARRETERA,092,MERCEDES BENZ,844,L-1624,1.0,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000.0,No aplica,100,6,
COMUNICACIÓN DE RECUPERO,2018-01-11,2013-07-01,1092,SAN NICOLAS Nº 1,Buenos Aires,Nacional,2013.0,12.0,SEDAN 4 PUERTAS,37,RENAULT,YA,FLUENCE 2.0 16V GT,1.0,Privado,Física,SAN NICOLAS,BUENOS AIRES,Masculino,1977.0,Argentina,100,6,ARG
COMUNICACIÓN DE RECUPERO,2018-01-29,1999-01-12,1121,MAR DEL PLATA Nº 03,Buenos Aires,Protocolo 21,1999.0,30.0,FURGONETA,044,FIAT,013,FIORINO 1.7 DIESEL,1.0,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1986.0,Argentina,100,6,ARG
