tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_descripcion,automotor_marca_descripcion,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,unico_duenio
COMUNICACIÓN DE RECUPERO,2018-01-17,2001-08-22,CAPITAL FEDERAL Nº 073,Ciudad Autónoma de Bs.As.,Nacional,2001.0,FURGON VIDRIADO,RENAULT,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-16,2000-08-02,CORONEL VIDAL,Buenos Aires,Nacional,2000.0,SEDAN 5 PTAS,FORD,Privado,Física,SANTA CLARA DEL MAR,BUENOS AIRES,Femenino,1931.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-26,2010-06-11,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2010.0,SEDAN 3 PTAS,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-29,2008-11-04,LA PLATA Nº 01,Buenos Aires,Nacional,2008.0,SEDAN 5 PTAS,PEUGEOT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-29,2015-02-27,LA PLATA Nº 01,Buenos Aires,Nacional,2015.0,PICK-UP,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-29,2010-09-27,LA PLATA Nº 01,Buenos Aires,Nacional,2010.0,PICK-UP,VOLKSWAGEN,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-29,2001-09-28,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2001.0,RURAL 5 PTAS,FIAT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-22,2007-07-06,LA PLATA Nº 01,Buenos Aires,Importado,2007.0,FAMILIAR,MERCEDES BENZ,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-31,2009-01-07,LA PLATA Nº 01,Buenos Aires,Nacional,2009.0,PICK-UP,TOYOTA,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-22,2011-08-05,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2011.0,SEDAN 5 PTAS,FIAT,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-26,2007-07-23,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2007.0,TRACTOR DE CARRETERA,MERCEDES BENZ,Privado,Jurídica,LA PLATA,BUENOS AIRES,No identificado,2000.0,NO IDENTIFICADO,1
COMUNICACIÓN DE RECUPERO,2018-01-11,2013-07-01,SAN NICOLAS Nº 1,Buenos Aires,Nacional,2013.0,SEDAN 4 PUERTAS,RENAULT,Privado,Física,SAN NICOLAS,BUENOS AIRES,Masculino,1977.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-29,1999-01-12,MAR DEL PLATA Nº 03,Buenos Aires,Protocolo 21,1999.0,FURGONETA,FIAT,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1986.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-03,2004-08-12,SAN MIGUEL Nº 2,Buenos Aires,Protocolo 21,2004.0,PICK UP,CHEVROLET,Privado,Física,MUÑIZ,BUENOS AIRES,Femenino,1975.0,ARGENTINA,1
COMUNICACIÓN DE RECUPERO,2018-01-09,2017-06-08,OLIVOS Nº 04,Buenos Aires,Nacional,2017.0,TODO TERRENO,TOYOTA,Privado,Física,FLORIDA,BUENOS AIRES,Masculino,1961.0,ARGENTINA,1
