modelo,robados,patentados,rob_c_100m
FOX,12,3332,360.1440576
GOLF,24,6924,346.6204506
BERLINGO,24,7149,335.7112883
208,80,32160,248.7562189
UP,28,11414,245.3127738
AMAROK,59,27113,217.6077896
SURAN,31,15546,199.4082079
POLO,43,24570,175.010175
FIESTA,31,18018,172.0501721
RENEGADE,28,16478,169.9235344
FIORINO,14,8773,159.5805312
LOGAN,31,19587,158.2682391
SANDERO,48,31156,154.0634228
KANGOO,30,20929,143.3417746
SPIN,12,8447,142.0622706
MOBI,23,16235,141.6692331
ARGO,39,28199,138.3027767
C3,18,13052,137.9098989
GOL,47,34193,137.4550347
FOCUS,22,16116,136.5103003
RANGER,30,22874,131.1532745
308,11,8648,127.1970398
ECOSPORT,30,24833,120.8069907
KA,52,43149,120.5126422
HILUX,54,47700,113.2075472
2008,16,14154,113.0422495
KWID,33,30653,107.6566731
ONIX,46,43257,106.3411702
CRONOS,23,22338,102.9635599
ETIOS,45,44011,102.2471655
C4,12,12248,97.97517962
COROLLA,20,21163,94.50455985
TORO,10,10731,93.18796012
PRISMA,27,35057,77.01742876
PARTNER,11,14388,76.45259939
DUSTER,24,39078,61.41563028
